time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,train/approx_kl,train/explained_variance,train/clip_fraction,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/loss
219136,19.7,-18.698096760000002,107,2,80919,0.00014058233,0.34598207473754883,0.0,21.827371203899382,1e-05,-0.001225693424930796,1060,0.2,-3.480961436778307,10.40259075164795
221184,18.86,-17.85818432,108,2,81943,0.00027230007,0.34581148624420166,0.00068359375,22.467568269371988,1e-05,-0.0021536599975661374,1070,0.2,-3.481582545489073,10.618310928344727
223232,19.62,-18.618100860000006,109,2,82938,0.0002954293,0.38199424743652344,0.0001953125,19.361830851435663,1e-05,-0.0016757045283156912,1080,0.2,-3.472530518472195,10.42039680480957
225280,19.47,-18.46811585,110,2,83942,0.0003444537,0.3700326085090637,0.0,21.10134350657463,1e-05,-0.0022725567399902503,1090,0.2,-3.4752772092819213,10.94493579864502
227328,19.06,-18.058157650000002,111,2,84963,0.0002249142,0.386940598487854,0.0,20.750727519392967,1e-05,-0.0015750207865494303,1100,0.2,-3.4769985295832155,7.84013032913208
229376,19.13,-18.128150440000002,112,2,85976,0.00035719865,0.39869433641433716,0.0,18.504432505369188,1e-05,-0.0022049664446967656,1110,0.2,-3.4690387569367886,10.784205436706543
231424,19.69,-18.68809328,113,2,86978,0.00018195281,0.3795509934425354,0.0,19.797502234578133,1e-05,-0.001507217811740702,1120,0.2,-3.4656062737107276,7.665427207946777
233472,19.2,-18.198143340000005,114,2,87998,0.00024243793,0.3869461417198181,0.0,20.14659403860569,1e-05,-0.001738159926753724,1130,0.2,-3.464277180284262,9.205659866333008
235520,19.88,-18.878073890000007,115,2,88990,0.000230584,0.41367799043655396,0.0,18.117418190836908,1e-05,-0.001601405069231987,1140,0.2,-3.458323189616203,11.259468078613281
237568,18.63,-17.628201540000003,116,2,90013,0.00029229865,0.4012777805328369,0.0,20.345945566892624,1e-05,-0.001936049064534018,1150,0.2,-3.4619878716766834,12.624298095703125
239616,19.46,-18.458116770000004,117,2,91014,0.00023411878,0.4407462477684021,0.0,16.130806401371956,1e-05,-0.0013789631208055652,1160,0.2,-3.452181664854288,8.103533744812012
241664,18.86,-17.858178040000002,118,2,92040,0.00011537681,0.41110074520111084,0.0,19.101790043711663,1e-05,-0.0011587769127800128,1170,0.2,-3.4577416360378264,13.441676139831543
243712,18.68,-17.67819645,119,2,93070,0.00030898317,0.4442712068557739,0.0,15.892137585580349,1e-05,-0.0020884462763206104,1180,0.2,-3.447657635062933,8.729507446289062
245760,18.63,-17.628201550000004,120,2,94107,0.00030558242,0.44735556840896606,0.0,15.160812827944756,1e-05,-0.0015298493482987397,1190,0.2,-3.446077951788902,8.871569633483887
247808,18.83,-17.828181100000005,121,2,95133,0.00018311795,0.47989243268966675,0.0,14.461365672945977,1e-05,-0.0015310936752939597,1200,0.2,-3.443394161015749,4.65134859085083
